-,Genre,Year,Duration (min),Budget (US),Box_office,IMDB (Out of 10),Personal_Rating (out of 10),Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20,,,,,
Lilo and stitch,Family,2002,85,"$80,000,000.00","$273,100,000.00",7.3,10,8,4,8,6,8,10,98,8,9,10,9,10,10,10,10,9,10,10,8,8,8,10,8,6,,,,,
Lilo and stitch 2,Family,2005,68,N/A,N/A,6.2,9,5,8,6,4,7,5,8,4,5,4,8,6,7,6,8,6,6,5,6,5,6,8,10,6,,,,,
Maleficent,Fantasy,2014,97,"$180,000,000.00","$758,500,000.00",6.9,9,6,6,6,6,6,8,8,7,7,4,8,9,5,6,3,5,4,8,8,7,8,10,2,5,,,,,
Matilda,Comedy,1996,98,"$36,000,000.00","$47,000,000.00",7,10,9,10,9,9,9,8,10,8,9,10,6,9,8,7,8,7,9,8,8,8,9,10,8,10,,,,,
Me Before You,Romance,2016,110,"$20,000,000.00","$208,300,000.00",7.4,10,5,2,4,5,3,5,3,2,4,4,4,4,4,1,2,3,6,8,2,3,5,4,10,1,,,,,
Meet the Robinsons,Adventure,2007,95,"$150,000,000.00","$169,300,000.00",6.8,10,6,4,7,6,7,10,7,106,8,9,8,6,10,6,8,8,10,8,9,10,10,8,8,7,,,,,
Megalodon,Action,2018,88,"$130,000,000.00","$530,200,000.00",2.8,5,5,3,2,3,2,3,4,4,2,4,2,4,6,3,2,2,3,1,5,2,8,1,2,2,,,,,
Mission: Impossible - Dead Reckoning,Action,2023,153,"$291,000,000.00","$567,500,000.00",7.7,8,6,8,8,7,10,9,8,10,8,8,10,9,9,9,8,8,9,8,8,10,8,9,6,8,,,,,
Moana,Musical,2016,103,"$150,000,000.00","$687,200,000.00",7.6,8,8,7,6,8,8,10,8,10,7,9,9,9,10,8,8,10,8,8,9,8,10,7,8,7,,,,,
Mulan,Musical,1998,88,"$90,000,000.00","$304,300,000.00",7.7,9,3,10,5,7,10,10,5,9,10,10,10,7,10,7,9,10,10,10,8,10,8,9,8,8,,,,,
Nightmare Alley,Thriller,2021,150,"$6,000,000.00","$39,600,000.00",7,7,10,10,8,4,6,6,7,6,8,5,4,7,6,5,7,10,10,6,4,7,10,4,9,10,,,,,
No manches frida,Comedy,2016,100,"$2,500,000.00","$23,500,000.00",5.5,7,4,6,4,4,3,1,1,1,1,1,10,4,2,1,6,1,1,6,8,1,3,1,1,3,,,,,
No manches frida 2,Comedy,2019,102,N/A,"$9,300,000.00",4.2,8,4,4,4,4,1,2,2,1,1,1,1,1,1,2,2,1,3,1,10,1,3,1,2,1,,,,,
Nope,Horror,2022,130,"$68,000,000.00","$172,300,000.00",6.8,7,8,6,8,7,10,9,10,8,10,9,10,8,8,8,10,10,9,10,9,10,9,10,10,5,,,,,
Old,Thriller,2021,108,"$18,000,000.00","$90,200,000.00",5.8,6,5,4,0,8,10,2,8,3,3,3,3,5,7,6,9,7,7,10,7,7,6,5,9,10,,,,,
Oppenheimer,Thriller,2023,180,"$100,000,000.00","$953,800,000.00",8.4,10,10,10,9,10,10,10,10,8,9,8,10,9,7,9,8,10,9,7,10,10,10,7,7,10,,,,,
Pacific Rim,Scifi,2013,131,"$180,000,000.00","$411,000,000.00",6.9,9,2,3,6,6,4,9,8,10,9,6,5,8,9,8,10,8,3,10,8,8,8,8,6,7,,,,,
Pacific Rim Uprising,Scifi,2018,111,"$150,000,000.00","$290,900,000.00",5.6,8,3,2,6,6,2,4,3,6,6,5,6,4,4,3,4,3,4,5,5,2,6,4,2,8,,,,,
Planet of the Apes,Action,2001,119,"$100,000,000.00","$362,200,000.00",5.7,10,8,8,5,6,4,3,2,4,3,3,4,1,4,4,2,3,3,7,8,4,3,5,4,4,,,,,
Poor Things,Comedy,2023,141,"$35,000,000.00","$12,830,000.00",8.4,8,10,6,9,8,9,9,9,9,9,2,8,10,10,4,6,9,10,2,1,9,9,1,5,9,,,,,
Priscilla,Romance,2023,110,"$20,000,000.00","$31,100,000.00",6.6,5,8,7,8,8,7,9,10,7,7,7,10,10,10,9,8,8,9,8,9,10,7,7,8,8,,,,,
Pulp Fiction,crime,1994,154,"$8,500,000.00","$213,900,000.00",8.9,9,10,9,10,8,6,8,7,8,10,10,10,10,10,10,10,8,9,7,10,3,7,6,10,9,,,,,
Puss in Boots,Comedy,2011,90,"$130,000,000.00","$555,000,000.00",6.6,10,6,6,4,6,6,6,6,6,8,7,5,7,5,6,5,5,7,8,3,7,6,4,6,8,,,,,
Rampage,Action,2018,107,"$120,000,000.00","$428,000,000.00",6.1,8,3,6,4,6,3,5,6,3,6,2,6,3,3,3,4,6,2,4,5,6,10,10,6,4,,,,,
Ratatouille,Comedy,2007,111,"$150,000,000.00","$623,700,000.00",8.1,10,8,8,6,10,10,9,10,10,10,9,10,10,8,10,10,10,8,10,10,10,10,8,10,10,,,,,
Real steel,SciFi,2011,127,"$110,000,000.00","$299,300,000.00",7.1,9,4,5,4,2,7,6,8,7,8,6,9,8,6,8,3,7,8,5,7,8,7,2,7,9,,,,,
Rio,Comedy,2011,96,"$90,000,000.00","$484,600,000.00",6.9,9,4,5,6,7,6,6,10,7,2,6,7,8,8,8,10,7,8,7,6,2,7,8,7,7,,,,,
Rio 2,Comedy,2014,101,"$130,000,000.00","$498,800,000.00",6.3,8,4,6,3,4,7,4,1,4,5,7,10,5,6,2,5,4,3,1,5,6,3,5,5,2,,,,,
Rise of the guardians,Adventure,2012,97,"$145,000,000.00","$306,900,000.00",7.2,8,3,6,6,4,6,9,7,9,6,7,9,7,8,7,10,9,9,6,9,8,7,10,8,9,,,,,
Robbin hood,Adventure,1973,83,"$15,000,000.00","$33,000,000.00",7.5,9,7,5,8,8,8,9,7,8,9,8,8,8,8,7,8,8,10,7,10,9,9,8,9,8,,,,,
San Andreas,Action,2015,114,"$110,000,000.00","$474,500,000.00",2.1,6,3,7,3,5,4,3,7,6,4,2,4,6,5,4,5,8,3,4,7,6,5,3,5,5,,,,,
Shrek ,Comedy,2001,90,"$60,000,000.00","$491,800,000.00",7.9,9,10,7,9,10,8,10,7,9,7,8,9,9,10,10,6,8,10,7,7,9,10,10,10,7,,,,,
Shrek 2,Comedy,2004,105,"$150,000,000.00","$935,300,000.00",7.3,9,8,10,6,7,10,10,9,10,7,10,10,9,7,10,10,10,9,10,8,10,10,9,10,9,,,,,
Shrek For Ever After,Comedy,2010,93,"$135,000,000.00","$756,200,000.00",6.3,8,6,8,6,6,8,10,4,6,3,2,5,8,8,8,6,7,8,4,9,7,7,5,7,7,,,,,
Shrek The Third,Comedy,2007,93,"$160,000,000.00","$813,400,000.00",6.1,8,6,4,4,4,2,10,1,6,6,10,7,2,4,8,7,8,4,9,6,6,6,4,2,6,,,,,
Society of the snow,Adventure,2023,144,"$65,000,000.00",N/A,7.8,9,8,7,9,8,10,10,9,9,10,10,10,9,8,9,9,9,9,10,8,8,10,8,10,10,,,,,
Sound Of Freedom,Crime,2023,135,"$14,500,000.00","$250,600,000.00",7.7,7,6,4,6,2,1,4,9,5,1,10,1,1,8,2,3,9,1,2,6,2,1,2,6,7,,,,,
Spiderman,Action,2002,121,"$139,000,000.00","$825,000,000.00",7.4,9,8,8,6,8,7,10,8,8,7,8,6,8,8,7,6,8,8,9,7,8,8,7,7,8,,,,,
Spiderman 2,Action,2004,135,"$200,000,000.00","$789,000,000.00",7.5,10,9,10,10,8,9,10,9,9,8,9,6,8,9,9,9,9,10,10,10,10,8,7,10,10,,,,,
Spiderman 3,Action,2007,139,"$250,000,000.00","$895,000,000.00",6.3,8,7,6,6,4,9,10,2,8,6,10,5,7,4,7,8,5,8,6,6,4,9,6,6,8,,,,,
Spiderman across the spiderverse,Action,2023,140,"$100,000,000.00","$690,900,000.00",8.6,10,4,8,8,10,10,10,9,10,8,10,10,10,10,8,10,8,9,10,10,10,10,10,10,7,,,,,
Spiderman far form home,Action,2019,130,"$160,000,000.00","$1,132,000,000.00",7.4,9,7,6,6,6,6,10,4,7,7,8,9,5,7,6,7,9,7,7,8,9,8,6,8,5,,,,,
Spiderman into the spiderverse,Action,2018,116,"$90,000,000.00","$384,300,000.00",8.4,10,8,7,8,8,10,10,10,8,8,10,10,8,10,8,10,9,9,9,10,10,8,9,9,10,,,,,
Spiderman no way home,Action,2021,148,"$200,000,000.00","$1,992,000,000.00",8.2,9,8,8,10,6,8,10,7,6,7,10,7,4,9,7,5,7,10,4,4,9,10,4,4,7,,,,,
Suicide Squad,Action,2016,130,"$175,000,000.00","$749,200,000.00",5.9,5,4,4,5,8,2,6,3,3,6,3,7,1,4,3,8,6,7,4,1,3,9,2,3,2,,,,,
Talk to me,Horror,2022,95,"$4,500,000.00","$92,000,000.00",7.1,8,8,8,8,7,7,7,8,5,7,8,10,6,6,8,7,4,9,7,6,8,8,9,8,7,,,,,
Tangled,Adventure,2010,100,"$260,000,000.00","$592,500,000.00",7.7,8,4,6,8,7,10,8,10,9,7,10,8,7,10,8,10,10,10,8,10,9,9,10,9,10,,,,,
Teen beach movie,Musical,2013,110,"$8,000,000.00","$12,509,304.00",5.9,7,8,7,7,8,8,3,9,7,9,10,10,7,5,9,10,10,10,6,7,10,10,9,9,8,,,,,
The 5th wave,SciFi,2016,112,"$54,000,000.00","$109,900,000.00",5.2,7,3,4,6,3,2,2,2,2,1,2,2,3,2,3,4,4,4,3,3,5,5,4,1,1,,,,,
The Adventures of Sharkboy and Lavagirl,Adventure,2005,92,"$50,000,000.00","$72,000,000.00",3.7,9,4,3,3,4,10,3,2,6,6,3,7,10,2,8,10,10,4,10,10,2,3,8,1,10,,,,,
The Babysitter,Horror,2017,85,,"$404,923.00",6.3,6,7,7,8,6,7,8,4,1,5,8,4,4,6,5,8,5,7,6,3,5,2,8,7,6,,,,,
The blind side,Sports,2009,129,"$29,000,000.00","$309,200,000.00",7.6,8,7,2,10,4,3,3,1,1,1,1,2,4,2,6,1,2,10,2,1,2,2,7,3,2,,,,,
The book of life,Adventure,2014,95,"$50,000,000.00","$100,000,000.00",7.2,7,6,8,6,8,10,10,8,10,8,7,4,7,6,9,7,9,9,8,8,6,7,8,9,8,,,,,
The Fast and The Furious,Action,2001,106,"$38,000,000.00","$207,300,000.00",6.8,9,4,8,8,6,8,9,7,6,5,6,8,4,5,8,6,6,7,7,7,10,7,6,4,10,,,,,
The Fast and The Furious: Tokyo Drift,Action,2006,104,"$85,000,000.00","$159,000,000.00",6,10,6,2,6,4,5,8,4,4,6,6,6,8,10,10,9,6,4,8,2,4,3,10,8,7,,,,,
The Fate of the Furious,Action,2017,136,"$250,000,000.00","$1,239,000,000.00",6.6,8,6,6,4,7,4,8,8,9,4,8,6,8,6,6,4,8,6,5,6,7,6,7,6,7,,,,,
The First Purge,Horror,2018,98,"$13,000,000.00","$137,100,000.00",5.2,7,6,4,7,7,5,7,7,4,6,8,4,3,2,9,5,8,7,3,8,4,7,3,4,7,,,,,
The fly,Horror,1986,96,"$15,000,000.00","$60,600,000.00",7.6,9,10,10,10,6,8,8,7,8,10,8,10,10,9,8,10,10,2,9,10,8,10,10,8,10,,,,,
The Forever Purge,Horror,2021,103,"$18,000,000.00","$77,000,000.00",5.4,8,6,6,4,5,5,6,5,6,3,7,1,7,3,4,4,2,6,5,5,5,3,3,6,5,,,,,
The Founder,Documentary,2016,115,"$25,000,000.00","$24,100,000.00",7.2,8,4,8,6,8,6,3,7,8,6,6,7,5,7,8,7,7,8,6,5,10,2,8,7,6,,,,,
The game plan,Comedy,2007,112,"$22,000,000.00","$146,600,000.00",6.4,9,6,6,4,4,6,10,8,4,4,8,8,9,8,8,2,7,8,2,7,9,8,8,7,8,,,,,
The godfather,Crime,1972,175,"$7,200,000.00","$291,000,000.00",9.2,9,10,10,10,10,10,10,8,9,9,10,10,9,6,9,10,10,8,10,9,9,10,8,9,10,,,,,
The great gatsby,Romance,2013,142,"$105,000,000.00","$353,600,000.00",7.2,8,6,5,4,4,8,5,2,8,2,7,9,6,7,6,8,2,3,6,1,5,7,8,4,5,,,,,
The greatest showman,Musical,2017,105,"$84,000,000.00","$435,000,000.00",7.5,7,8,6,4,4,3,6,2,6,7,7,5,6,7,6,7,5,6,7,6,8,10,8,10,6,,,,,
The Green book,Comedy,2019,130,"$23,000,000.00","$321,800,000.00",8.2,9,8,6,6,4,7,8,8,8,10,9,10,8,8,10,8,10,8,8,8,8,8,8,8,10,,,,,
The Hunger Games,Action,2012,146,"$78,000,000.00","$695,200,000.00",7.2,10,7,6,8,6,7,6,8,6,8,8,8,8,8,10,9,6,9,8,8,6,10,6,7,8,,,,,
The Hunger Games: Catching Fire,Action,2013,146,"$160,000,000.00","$865,000,000.00",7.5,9,8,9,6,7,10,8,8,8,8,10,8,9,9,10,8,10,10,8,7,7,8,8,8,8,,,,,
The impossible,Adventure,2012,114,"$45,000,000.00","$198,100,000.00",7.5,7,8,8,8,7,7,10,4,4,9,6,7,5,6,5,5,10,8,8,8,6,8,7,10,5,,,,,
The Incredibles,Action,2004,105,"$92,000,000.00","$631,600,000.00",8,10,8,10,8,10,10,8,9,6,7,10,9,9,10,9,9,8,10,10,10,9,10,10,10,9,,,,,
The incredibles 2,Action,2018,126,"$200,000,000.00","$1,243,000,000.00",7.5,9,8,8,8,8,9,8,8,7,7,9,8,8,6,7,8,8,9,8,10,8,7,9,7,6,,,,,
The Jungle Book,Adventure,1967,78,"$4,000,000.00","$205,843,612.00",7.6,10,7,10,6,8,5,8,10,7,7,7,10,6,8,3,5,8,8,7,8,8,5,10,9,6,,,,,
The lady and the tramp,Romance,1955,75,"$4,000,000.00","$187,000,000.00",7.3,9,10,10,5,10,7,4,6,4,7,9,10,7,7,4,9,7,7,6,6,6,8,8,8,8,,,,,
The lion king,Musical,1994,89,"$45,000,000.00","$968,400,000.00",8.5,10,10,9,9,8,10,9,10,9,8,10,10,9,6,10,6,9,10,10,9,10,10,10,8,9,,,,,
The Noble family,Comedy,2013,108,N/A,"$26,900,000.00",7.3,9,8,7,5,9,10,7,8,5,6,8,8,7,5,7,7,7,8,7,8,6,8,10,10,6,,,,,
The notebook,Romance,2004,121,"$29,000,000.00","$117,800,000.00",7.8,10,2,6,6,6,8,7,5,8,7,2,7,6,5,6,1,10,7,10,6,6,7,7,2,6,,,,,
The nun,Horror,2018,96,"$22,000,000.00","$366,000,000.00",5.3,8,5,5,4,5,10,3,3,5,6,2,3,3,2,5,3,2,3,2,9,1,6,4,8,2,,,,,
The Purge,Horror,2013,85,"$3,000,000.00","$91,300,000.00",5.7,9,6,4,5,5,3,6,4,2,5,4,4,5,3,5,6,2,4,3,6,5,3,3,3,7,,,,,
The Purge Anarchy,Horror,2014,103,"$9,000,000.00","$111,900,000.00",6.4,7,6,6,6,6,7,5,8,5,6,3,6,5,5,8,6,6,4,5,8,3,8,3,8,6,,,,,
The Purge: Election Year,Horror,2016,105,"$10,000,000.00","$118,600,000.00",6,7,4,3,6,7,4,10,2,5,5,8,3,8,6,6,8,5,2,6,8,8,2,7,4,6,,,,,
The pursuit of happyness,Drama,2006,117,"$55,000,000.00","$307,100,000.00",8,9,7,6,6,7,9,9,10,8,7,7,8,2,7,3,9,10,9,7,7,8,8,9,8,2,,,,,
The Shape of Water,Romance,2017,123,"$20,000,000.00","$196,000,000.00",7.3,8,8,10,8,10,8,10,6,9,8,9,10,8,6,9,9,10,5,10,9,6,10,8,10,10,,,,,
The wave,Action,2015,105,"$6,000,000.00","$12,800,000.00",6.6,7,8,8,6,5,6,9,7,7,7,7,8,8,5,8,7,7,7,8,9,8,4,5,6,6,,,,,
Titanic,Romance,1997,195,"$200,000,000.00","$2,264,000,000.00",7.9,8,8,8,5,8,6,9,10,7,8,8,10,10,10,10,10,8,10,10,10,10,10,10,8,10,,,,,
Top Gun,Action,1986,110,"$15,000,000.00","$357,300,000.00",6.9,8,7,7,6,6,8,10,7,7,8,5,6,6,5,7,6,7,6,7,8,7,6,5,7,6,,,,,
Top Gun: Maverick,Action,2022,131,"$177,000,000.00","$1,493,000,000.00",8.3,9,8,8,8,10,8,10,9,7,7,8,8,8,9,9,8,1,10,9,9,8,8,9,9,10,,,,,
Toy story,Comedy,1995,77,"$30,000,000.00","$394,400,000.00",8.3,10,10,10,8,10,8,9,9,8,8,10,8,8,7,10,9,10,9,10,9,10,9,10,8,9,,,,,
Toy story 2,Comedy,1999,92,"$90,000,000.00","$511,400,000.00",7.9,9,10,6,8,10,10,9,10,9,7,8,10,10,10,9,9,9,10,10,10,9,10,8,9,10,,,,,
Toy story 3,Comedy,2010,103,"$200,000,000.00","$1,067,000,000.00",8.3,10,10,10,8,10,8,7,7,7,7,10,9,10,10,10,10,10,10,10,9,9,8,9,10,10,,,,,
Underdog,Adventure,2007,84,"$25,000,000.00","$65,300,000.00",4.8,8,4,6,4,4,3,10,4,1,10,10,10,4,2,5,5,3,1,2,8,10,2,2,2,10,,,,,
UP,Adventure,2009,96,"$175,000,000.00","$735,100,000.00",8.3,10,8,8,8,8,10,7,10,8,7,10,8,10,7,8,7,10,10,8,10,10,8,10,9,8,,,,,
Wall e,SciFi,2008,98,"$180,000,000.00","$532,500,000.00",8.4,10,8,10,10,8,9,8,10,9,7,9,9,9,10,9,9,9,9,10,10,9,10,9,9,9,,,,,
When Evil Lurks,Horror,2023,99,"$10,000,000.00","$1,600,000.00",7,10,7,8,6,8,7,10,8,8,5,8,8,4,8,8,9,8,7,9,10,6,10,4,10,6,,,,,
Wizards of Waverly Place: The Movie,Adventure,2009,98,"$1,500,000.00",N/A,6.2,7,6,5,10,10,9,7,7,10,6,10,4,10,6,9,6,6,10,8,6,6,10,4,6,7,,,,,
Wolf of Wall Street,Comedy,2013,180,"$100,000,000.00","$406,900,000.00",8.2,9,8,6,6,8,8,8,9,10,9,8,9,9,9,10,8,1,9,10,5,10,9,7,8,9,,,,,
Wreck it ralph,Adventure,2012,101,"$165,000,000.00","$496,500,000.00",7.7,8,6,6,4,4,10,6,7,7,7,8,7,8,10,10,9,8,8,9,9,8,8,10,9,8,,,,,
Zoom,Comedy,2006,88,"$75,600,000.00","$12,500,000.00",4.4,7,2,4,1,5,3,4,3,6,6,3,1,1,10,2,1,3,4,4,4,10,4,2,2,6,,,,,
Zootopia,Adventure,2016,108,"$150,000,000.00","$1,025,000,000.00",8,8,8,7,8,8,8,7,9,10,8,7,9,7,9,9,9,8,10,7,4,10,8,10,8,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
