Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Fans
A quiet place,Horror,2018.0,90.0,17.0,340.939361,75.0,70.0,70.0,90.0,80.0,8.0,77.5
A quiet place Part II,Horror,2020.0,97.0,55.0,297.4,72.0,70.0,80.0,40.0,60.0,6.0,69.0
Aladin (2019),Fantasy,2019.0,128.0,183.0,1050.693953,69.0,90.0,50.0,70.0,40.0,4.0,81.5
Alice in Wonderland,Fantasy,2010.0,108.0,205.0,1028.46711,64.0,80.0,40.0,60.0,50.0,7.0,78.0
American Psycho,Horror,2000.0,101.0,7.0,34.3,76.0,80.0,60.0,50.0,80.0,7.0,83.5
Anyone but you,Comedy,2023.0,103.0,25.0,189.321912,63.0,60.0,50.0,50.0,80.0,6.0,66.0
Astro boy,SciFi,2009.0,94.0,65.0,41.636243,62.0,80.0,30.0,40.0,40.0,6.0,76.5
Baby Driver,Action,2017.0,115.0,34.0,226.9,75.0,90.0,80.0,70.0,100.0,7.0,88.5
Bambi,Family,1942.0,70.0,0.858,267.4,73.0,100.0,100.0,80.0,80.0,9.0,84.5
Barbie,Comedy,2023.0,114.0,145.0,1445.638421,69.0,90.0,70.0,60.0,80.0,7.0,70.5
Bay Watch,Comedy,2017.0,121.0,69.0,170.736984,55.0,100.0,50.0,40.0,70.0,6.0,67.0
Beauty and the Beast,Musical,1991.0,84.0,25.0,424.0,80.0,70.0,70.0,70.0,60.0,8.0,86.5
Big Hero 6,Action,2014.0,105.0,165.0,657.818612,78.0,80.0,80.0,80.0,60.0,8.0,85.0
Black Adam,Action,2022.0,125.0,260.0,392.952111,62.0,80.0,50.0,60.0,50.0,5.0,58.0
Bohemian Rhapsody,Musical,2018.0,134.0,52.4,911.992901,79.0,100.0,60.0,50.0,70.0,8.0,84.0
Bolt,Adventure,2008.0,96.0,150.0,309.979994,68.0,90.0,60.0,60.0,80.0,8.0,74.5
Bruce Almighty,Comedy,2003.0,101.0,81.0,484.592874,68.0,70.0,60.0,50.0,70.0,6.0,68.0
Bullet Train,Action,2022.0,126.0,85.0,238.997,73.0,80.0,50.0,60.0,70.0,6.0,72.5
Candyman,Horror,2021.0,91.0,25.0,77.41157,59.0,50.0,100.0,70.0,50.0,7.0,62.0
Cars,Comedy,2006.0,117.0,120.0,462.0,72.0,100.0,50.0,60.0,70.0,6.0,92.0
Cars 2,Comedy,2011.0,106.0,200.0,559.8,62.0,90.0,60.0,60.0,50.0,6.0,89.5
Cars 3,Comedy,2017.0,109.0,175.0,383.9,67.0,100.0,60.0,50.0,60.0,8.0,68.0
Catch me if you can,Crime,2002.0,141.0,52.0,352.114312,81.0,70.0,100.0,70.0,100.0,8.0,85.5
Chicken Little,Comedy,2005.0,81.0,150.0,314.432837,57.0,90.0,60.0,50.0,50.0,5.0,76.5
Click,Comedy,2006.0,107.0,82.5,240.781299,64.0,80.0,60.0,50.0,50.0,5.0,53.5
Coco,Fantasy,2017.0,105.0,175.0,807.082196,84.0,100.0,80.0,90.0,80.0,8.0,92.5
Coraline,Horror,2009.0,100.0,60.0,131.8,77.0,70.0,60.0,60.0,80.0,10.0,85.0
Creed,Sports,2015.0,133.0,40.0,173.567581,76.0,100.0,100.0,80.0,100.0,6.0,83.0
Creed 2,Sports,2018.0,130.0,50.0,214.115889,71.0,80.0,70.0,70.0,70.0,8.0,73.5
Creed 3,Sports,2023.0,116.0,75.0,275.248615,67.0,90.0,80.0,60.0,70.0,6.0,74.5
Cronos,Horror,1993.0,94.0,2.0,0.621392,67.0,70.0,70.0,60.0,80.0,8.0,70.5
Dont breathe,Horror,2016.0,88.0,10.0,158.973685,71.0,70.0,90.0,80.0,70.0,7.0,74.5
Dont breathe 2,Horror,2021.0,98.0,15.0,47.31295,60.0,70.0,50.0,50.0,60.0,6.0,49.0
Dont look up,Comedy,2021.0,145.0,75.0,791.863,72.0,80.0,50.0,50.0,80.0,6.0,68.5
Dragon Ball Z: Battle of the  Gods,Action,2013.0,85.0,0.636,50.353002,71.0,100.0,80.0,60.0,60.0,9.0,88.5
Due Date,Comedy,2010.0,95.0,65.0,211.8,65.0,80.0,60.0,70.0,50.0,6.0,55.0
Dumb and Dumber,Comedy,1994.0,113.0,17.0,247.275374,73.0,90.0,50.0,50.0,60.0,5.0,86.0
Dune,SciFi,2021.0,168.0,165.0,433.758183,80.0,100.0,60.0,90.0,60.0,7.0,88.0
Earthquake: the San Andreas Fault,Action,2015.0,114.0,110.0,474.0,61.0,70.0,50.0,50.0,40.0,5.0,59.5
Elvis,Musical,2022.0,159.0,85.0,287.340048,73.0,80.0,70.0,60.0,100.0,7.0,74.0
Encanto,Fantasy,2021.0,109.0,150.0,256.786742,72.0,80.0,70.0,50.0,80.0,8.0,73.5
Enders game,SciFi,2013.0,114.0,110.0,125.537191,66.0,70.0,80.0,50.0,60.0,7.0,63.0
F9,Action,2021.0,143.0,200.0,726.229501,52.0,100.0,70.0,80.0,50.0,6.0,68.5
Fast and Furious,Action,2001.0,106.0,38.0,207.283925,68.0,100.0,50.0,80.0,80.0,6.0,65.5
Fast and Furious 6,Action,2013.0,130.0,260.0,788.67985,70.0,100.0,50.0,50.0,70.0,7.0,75.5
Fast Five,Action,2011.0,130.0,125.0,626.137675,73.0,100.0,70.0,70.0,50.0,6.0,84.0
Fight club,Horror,1999.0,139.0,63.0,100.853753,88.0,100.0,60.0,50.0,90.0,9.0,96.0
Finding Nemo,Adventure,2003.0,101.0,94.0,940.4,82.0,90.0,80.0,100.0,100.0,8.0,87.0
Five Feet Apart,Romance,2019.0,117.0,7.0,92.554209,72.0,70.0,60.0,80.0,60.0,8.0,52.5
Five Nights at FreddyÂ´s,Horror,2023.0,110.0,20.0,295.804363,55.0,70.0,60.0,50.0,50.0,5.0,62.5
Ford v Ferrari,Sports,2019.0,152.0,97.6,225.5,81.0,100.0,80.0,80.0,60.0,7.0,80.5
Forrest gump,Comedy,1994.0,142.0,55.0,677.387716,88.0,100.0,60.0,100.0,70.0,8.0,89.5
Free Guy,Action,2021.0,115.0,125.0,331.526598,71.0,80.0,70.0,60.0,50.0,5.0,55.0
Friday 13th,Horror,2009.0,97.0,20.0,92.379051,55.0,70.0,50.0,50.0,50.0,5.0,51.5
Frozen,Musical,2013.0,102.0,150.0,1284.219009,74.0,100.0,100.0,60.0,80.0,7.0,70.0
Frozen 2,Fantasy,2019.0,103.0,150.0,1453.683476,68.0,80.0,60.0,80.0,60.0,7.0,69.0
Furious 7,Action,2015.0,140.0,190.0,1516.045911,71.0,90.0,50.0,80.0,60.0,9.0,78.5
G-Force,Action,2009.0,88.0,150.0,292.817841,51.0,90.0,50.0,50.0,50.0,5.0,45.5
Get Out,Horror,2017.0,104.0,4.5,255.407969,78.0,90.0,80.0,100.0,80.0,8.0,86.5
Gladiator,Action,2000.0,155.0,103.0,457.640427,85.0,90.0,60.0,80.0,60.0,6.0,76.5
Gran Turismo,Sports,2023.0,135.0,60.0,122.0,72.0,100.0,60.0,50.0,70.0,7.0,64.0
Happy Death Day,Horror,2017.0,96.0,4.8,125.5,66.0,80.0,60.0,60.0,50.0,6.0,70.0
Harry Potter and the Chamber of Secrets,Fantasy,2002.0,161.0,100.0,926.0,74.0,100.0,100.0,60.0,60.0,8.0,76.0
Harry Potter and the Deathly Hallows Part 1,Fantasy,2010.0,146.0,125.0,976.0,77.0,70.0,60.0,40.0,70.0,6.0,87.5
Harry Potter and the Deathly Hallows Part 2,Fantasy,2011.0,130.0,125.0,1342.0,81.0,90.0,80.0,80.0,60.0,6.0,89.0
Harry Potter and the Goblet of Fire,Fantasy,2005.0,157.0,150.0,896.8,77.0,90.0,80.0,60.0,30.0,8.0,75.0
Harry Potter and the Half-Blood Prince,Fantasy,2009.0,153.0,250.0,934.5,76.0,80.0,60.0,60.0,80.0,6.0,77.5
Harry Potter and the Order of Phoenix,Fantasy,2007.0,138.0,150.0,942.2,75.0,80.0,80.0,80.0,70.0,6.0,76.5
Harry Potter and the Prisoner of Azkaban,Fantasy,2004.0,139.0,130.0,798.0,79.0,70.0,100.0,60.0,70.0,8.0,92.5
Harry Potter and the Sorcerer's Stone,Fantasy,2001.0,152.0,125.0,974.8,76.0,90.0,80.0,80.0,100.0,8.0,75.0
Hercules,Musical,1997.0,87.0,85.0,252.7,73.0,100.0,100.0,70.0,80.0,9.0,87.0
Home Alone,Comedy,1990.0,103.0,18.0,476.7,77.0,100.0,60.0,70.0,80.0,7.0,85.5
I am sam,Thriller,2001.0,132.0,22.0,97.8,76.0,100.0,60.0,70.0,40.0,6.0,37.0
I see you,Horror,2019.0,98.0,5.0,1.1,68.0,80.0,80.0,70.0,60.0,7.0,59.0
Ice age,Adventure,2002.0,81.0,59.0,383.2,75.0,80.0,50.0,80.0,50.0,7.0,73.0
Ice age: The Meltdown,Adventure,2006.0,91.0,80.0,667.0,68.0,90.0,80.0,40.0,50.0,6.0,59.5
Ice age:Dawn of the Dinosaurs,Adventure,2009.0,94.0,90.0,886.7,69.0,80.0,50.0,60.0,50.0,4.0,71.5
Inception,Scifi,2010.0,148.0,160.0,839.0,88.0,90.0,60.0,60.0,80.0,2.0,93.5
Inside out,Comedy,2015.0,95.0,175.0,858.8,81.0,70.0,100.0,80.0,80.0,10.0,86.0
Interstellar,Scifi,2014.0,169.0,165.0,701.7,87.0,100.0,100.0,20.0,90.0,6.0,91.5
IT,Horror,2017.0,135.0,35.0,701.8,73.0,80.0,90.0,70.0,100.0,8.0,75.5
IT Chapter Two,Horror,2019.0,169.0,79.0,473.1,65.0,60.0,60.0,60.0,40.0,7.0,58.0
John wick,Action,2014.0,101.0,30.0,86.0,74.0,90.0,60.0,80.0,80.0,6.0,80.5
John wick 2,Action,2017.0,122.0,40.0,174.3,74.0,90.0,80.0,60.0,80.0,6.0,82.0
John wick 3,Action,2019.0,131.0,75.0,327.7,74.0,90.0,70.0,60.0,60.0,7.0,86.0
John wick 4,Action,2023.0,169.0,100.0,440.1,77.0,100.0,60.0,70.0,40.0,7.0,91.0
Jumanji,Adventure,1995.0,104.0,65.0,263.0,71.0,90.0,70.0,60.0,60.0,4.0,74.5
Jumanji: Welcome to the jungle,Adventure,2017.0,119.0,90.0,962.1,69.0,90.0,60.0,70.0,70.0,4.0,62.5
Kill Bill,Action,2003.0,111.0,30.0,180.9,82.0,80.0,60.0,100.0,100.0,7.0,95.5
King Kong vs. Godzilla,Action,2021.0,113.0,155.0,470.1,63.0,90.0,60.0,80.0,60.0,8.0,58.0
KungFu Panda,Comedy,2008.0,92.0,130.0,631.7,76.0,100.0,60.0,60.0,60.0,7.0,86.0
KungFu Panda 2,Comedy,2011.0,92.0,150.0,665.7,72.0,100.0,70.0,40.0,70.0,4.0,86.0
KungFu Panda 3,Comedy,2016.0,95.0,145.0,521.2,71.0,100.0,60.0,80.0,80.0,7.0,69.0
Life of pi,Adventure,2012.0,127.0,120.0,609.0,79.0,80.0,60.0,70.0,80.0,6.0,87.0
Maleficent,Fantasy,2014.0,97.0,180.0,758.5,69.0,90.0,60.0,60.0,60.0,6.0,64.0
Matilda,Comedy,1996.0,98.0,36.0,47.0,70.0,100.0,90.0,100.0,90.0,9.0,84.5
Me Before You,Romance,2016.0,110.0,20.0,208.3,74.0,100.0,50.0,20.0,40.0,5.0,39.0
Mission: Impossible - Dead Reckoning,Action,2023.0,153.0,291.0,567.5,77.0,80.0,60.0,80.0,80.0,7.0,86.0
Moana,Musical,2016.0,103.0,150.0,687.2,76.0,80.0,80.0,70.0,60.0,8.0,85.5
Mulan,Musical,1998.0,88.0,90.0,304.3,77.0,90.0,30.0,100.0,50.0,7.0,89.0
Nightmare Alley,Thriller,2021.0,150.0,6.0,39.6,70.0,70.0,100.0,100.0,80.0,4.0,68.5
Nope,Horror,2022.0,130.0,68.0,172.3,68.0,70.0,80.0,60.0,80.0,7.0,91.0
Oppenheimer,Thriller,2023.0,180.0,100.0,953.8,84.0,100.0,100.0,100.0,90.0,10.0,89.0
Pacific Rim Uprising,Scifi,2018.0,111.0,150.0,290.9,56.0,80.0,30.0,20.0,60.0,6.0,43.0
Planet of the Apes,Action,2001.0,119.0,100.0,362.2,57.0,100.0,80.0,80.0,50.0,6.0,37.5
Poor Things,Comedy,2023.0,141.0,35.0,12.83,84.0,80.0,100.0,60.0,90.0,8.0,70.0
Priscilla,Romance,2023.0,110.0,20.0,31.1,66.0,50.0,80.0,70.0,80.0,8.0,84.0
Pulp Fiction,crime,1994.0,154.0,8.5,213.9,89.0,90.0,100.0,90.0,100.0,8.0,84.0
Puss in Boots,Comedy,2011.0,90.0,130.0,555.0,66.0,100.0,60.0,60.0,40.0,6.0,60.5
Rampage,Action,2018.0,107.0,120.0,428.0,61.0,80.0,30.0,60.0,40.0,6.0,48.5
Ratatouille,Comedy,2007.0,111.0,150.0,623.7,81.0,100.0,80.0,80.0,60.0,10.0,96.0
Real steel,SciFi,2011.0,127.0,110.0,299.3,71.0,90.0,40.0,50.0,40.0,2.0,68.0
Rio,Comedy,2011.0,96.0,90.0,484.6,69.0,90.0,40.0,50.0,60.0,7.0,68.5
Rio 2,Comedy,2014.0,101.0,130.0,498.8,63.0,80.0,40.0,60.0,30.0,4.0,45.0
Rise of the guardians,Adventure,2012.0,97.0,145.0,306.9,72.0,80.0,30.0,60.0,60.0,4.0,80.0
Robbin hood,Adventure,1973.0,83.0,15.0,33.0,75.0,90.0,70.0,50.0,80.0,8.0,83.0
Shrek ,Comedy,2001.0,90.0,60.0,491.8,79.0,90.0,100.0,70.0,90.0,10.0,85.5
Shrek 2,Comedy,2004.0,105.0,150.0,935.3,73.0,90.0,80.0,100.0,60.0,7.0,93.5
Shrek For Ever After,Comedy,2010.0,93.0,135.0,756.2,63.0,80.0,60.0,80.0,60.0,6.0,64.5
Shrek The Third,Comedy,2007.0,93.0,160.0,813.4,61.0,80.0,60.0,40.0,40.0,4.0,57.0
Sound Of Freedom,Crime,2023.0,135.0,14.5,250.6,77.0,70.0,60.0,40.0,60.0,2.0,40.5
Spiderman,Action,2002.0,121.0,139.0,825.0,74.0,90.0,80.0,80.0,60.0,8.0,76.5
Spiderman 2,Action,2004.0,135.0,200.0,789.0,75.0,100.0,90.0,100.0,100.0,8.0,89.5
Spiderman 3,Action,2007.0,139.0,250.0,895.0,63.0,80.0,70.0,60.0,60.0,4.0,67.0
Spiderman across the spiderverse,Action,2023.0,140.0,100.0,690.9,86.0,100.0,40.0,80.0,80.0,10.0,94.5
Spiderman far form home,Action,2019.0,130.0,160.0,1132.0,74.0,90.0,70.0,60.0,60.0,6.0,71.5
Spiderman into the spiderverse,Action,2018.0,116.0,90.0,384.3,84.0,100.0,80.0,70.0,80.0,8.0,92.5
Suicide Squad,Action,2016.0,130.0,175.0,749.2,59.0,50.0,40.0,40.0,50.0,8.0,41.5
Talk to me,Horror,2022.0,95.0,4.5,92.0,71.0,80.0,80.0,80.0,80.0,7.0,72.5
Tangled,Adventure,2010.0,100.0,260.0,592.5,77.0,80.0,40.0,60.0,80.0,7.0,91.0
Teen beach movie,Musical,2013.0,110.0,8.0,12.509304,59.0,70.0,80.0,70.0,70.0,8.0,83.0
The book of life,Adventure,2014.0,95.0,50.0,100.0,72.0,70.0,60.0,80.0,60.0,8.0,79.0
The Fast and The Furious,Action,2001.0,106.0,38.0,207.3,68.0,90.0,40.0,80.0,80.0,6.0,68.0
The Fast and The Furious: Tokyo Drift,Action,2006.0,104.0,85.0,159.0,60.0,100.0,60.0,20.0,60.0,4.0,64.0
The Fate of the Furious,Action,2017.0,136.0,250.0,1239.0,66.0,80.0,60.0,60.0,40.0,7.0,64.5
The First Purge,Horror,2018.0,98.0,13.0,137.1,52.0,70.0,60.0,40.0,70.0,7.0,55.5
The fly,Horror,1986.0,96.0,15.0,60.6,76.0,90.0,100.0,100.0,100.0,6.0,86.5
The Forever Purge,Horror,2021.0,103.0,18.0,77.0,54.0,80.0,60.0,60.0,40.0,5.0,45.5
The Founder,Documentary,2016.0,115.0,25.0,24.1,72.0,80.0,40.0,80.0,60.0,8.0,64.5
The game plan,Comedy,2007.0,112.0,22.0,146.6,64.0,90.0,60.0,60.0,40.0,4.0,69.5
The godfather,Crime,1972.0,175.0,7.2,291.0,92.0,90.0,100.0,100.0,100.0,10.0,91.5
The great gatsby,Romance,2013.0,142.0,105.0,353.6,72.0,80.0,60.0,50.0,40.0,4.0,54.5
The greatest showman,Musical,2017.0,105.0,84.0,435.0,75.0,70.0,80.0,60.0,40.0,4.0,64.0
The Green book,Comedy,2019.0,130.0,23.0,321.8,82.0,90.0,80.0,60.0,60.0,4.0,85.0
The Hunger Games,Action,2012.0,146.0,78.0,695.2,72.0,100.0,70.0,60.0,80.0,6.0,77.0
The Hunger Games: Catching Fire,Action,2013.0,146.0,160.0,865.0,75.0,90.0,80.0,90.0,60.0,7.0,85.0
The impossible,Adventure,2012.0,114.0,45.0,198.1,75.0,70.0,80.0,80.0,80.0,7.0,69.0
The Incredibles,Action,2004.0,105.0,92.0,631.6,80.0,100.0,80.0,100.0,80.0,10.0,91.0
The incredibles 2,Action,2018.0,126.0,200.0,1243.0,75.0,90.0,80.0,80.0,80.0,8.0,78.5
The Jungle Book,Adventure,1967.0,78.0,4.0,205.843612,76.0,100.0,70.0,100.0,60.0,8.0,72.5
The lady and the tramp,Romance,1955.0,75.0,4.0,187.0,73.0,90.0,100.0,100.0,50.0,10.0,69.0
The lion king,Musical,1994.0,89.0,45.0,968.4,85.0,100.0,100.0,90.0,90.0,8.0,91.0
The nun,Horror,2018.0,96.0,22.0,366.0,53.0,80.0,50.0,50.0,40.0,5.0,41.0
The Purge,Horror,2013.0,85.0,3.0,91.3,57.0,90.0,60.0,40.0,50.0,5.0,41.5
The Purge Anarchy,Horror,2014.0,103.0,9.0,111.9,64.0,70.0,60.0,60.0,60.0,6.0,57.5
The Purge: Election Year,Horror,2016.0,105.0,10.0,118.6,60.0,70.0,40.0,30.0,60.0,7.0,56.5
The pursuit of happyness,Drama,2006.0,117.0,55.0,307.1,80.0,90.0,70.0,60.0,60.0,7.0,73.5
The Shape of Water,Romance,2017.0,123.0,20.0,196.0,73.0,80.0,80.0,100.0,80.0,10.0,85.0
The wave,Action,2015.0,105.0,6.0,12.8,66.0,70.0,80.0,80.0,60.0,5.0,69.5
Top Gun,Action,1986.0,110.0,15.0,357.3,69.0,80.0,70.0,70.0,60.0,6.0,67.0
Top Gun: Maverick,Action,2022.0,131.0,177.0,1493.0,83.0,90.0,80.0,80.0,80.0,10.0,82.0
Toy story,Comedy,1995.0,77.0,30.0,394.4,83.0,100.0,100.0,100.0,80.0,10.0,89.0
Toy story 2,Comedy,1999.0,92.0,90.0,511.4,79.0,90.0,100.0,60.0,80.0,10.0,93.0
Toy story 3,Comedy,2010.0,103.0,200.0,1067.0,83.0,100.0,100.0,100.0,80.0,10.0,90.0
UP,Adventure,2009.0,96.0,175.0,735.1,83.0,100.0,80.0,80.0,80.0,8.0,87.5
Wall e,SciFi,2008.0,98.0,180.0,532.5,84.0,100.0,80.0,100.0,100.0,8.0,91.0
When Evil Lurks,Horror,2023.0,99.0,10.0,1.6,70.0,100.0,70.0,80.0,60.0,8.0,76.5
Wolf of Wall Street,Comedy,2013.0,180.0,100.0,406.9,82.0,90.0,80.0,60.0,60.0,8.0,82.5
Wreck it ralph,Adventure,2012.0,101.0,165.0,496.5,77.0,80.0,60.0,60.0,40.0,4.0,83.0
Zootopia,Adventure,2016.0,108.0,150.0,1025.0,80.0,80.0,80.0,70.0,80.0,8.0,82.5
